Artist (Ind.),total_chart_appearances,average_rank,best_rank,career_start,career_end,career_length_days,top_50_hits,top_50_rate
FIFTY FIFTY,125,74.072,3,2023-03-13,2023-05-29,77,65.0,0.52
FKA twigs,2,148.5,97,2021-12-17,2021-12-18,1,0.0,0.0
FLETCHER,31,155.3548387096774,95,2019-03-14,2019-04-16,33,0.0,0.0
FMK,51,113.03921568627452,64,2023-04-09,2023-05-29,50,0.0,0.0
FP do Trem Bala,5,169.0,141,2019-02-23,2019-03-03,8,0.0,0.0
FRENSHIP,78,134.66666666666666,90,2017-01-01,2017-04-20,109,0.0,0.0
Fabri Fibra,3,156.0,100,2019-07-05,2019-07-07,2,0.0,0.0
Fall Out Boy,33,166.87878787878788,121,2017-04-28,2018-01-22,269,0.0,0.0
Fally Ipupa,1,179.0,179,2020-09-18,2020-09-18,0,0.0,0.0
Famous Dex,377,106.16710875331565,32,2017-11-11,2018-08-30,292,14.0,0.03713527851458886
Farid Bang,17,159.52941176470588,104,2017-09-29,2019-06-19,628,0.0,0.0
Farruko,3224,96.49534739454094,3,2017-01-01,2023-01-14,2204,886.0,0.27481389578163773
Fat Les,1,158.0,158,2021-07-11,2021-07-11,0,0.0,0.0
Fedez,28,155.60714285714286,91,2018-05-04,2021-07-03,1156,0.0,0.0
Feid,2765,90.74900542495479,6,2019-03-02,2023-05-29,1549,697.0,0.25207956600361664
Felipe Amorim,44,148.70454545454547,88,2021-10-16,2022-07-16,273,0.0,0.0
Felipe Araújo,66,164.3030303030303,79,2018-10-26,2019-03-02,127,0.0,0.0
Felipe Origil,37,165.8108108108108,109,2019-09-21,2020-02-24,156,0.0,0.0
Felipe e Rodrigo,1,153.0,153,2023-01-01,2023-01-01,0,0.0,0.0
Felix Jaehn,108,158.4351851851852,121,2017-05-12,2019-02-21,650,0.0,0.0
Felix of Stray Kids,1,147.0,147,2022-06-24,2022-06-24,0,0.0,0.0
Fernando & Sorocaba,30,154.4,97,2021-01-01,2021-08-08,219,0.0,0.0
Fero47,9,165.0,127,2019-03-22,2019-06-07,77,0.0,0.0
Ferrugem,66,164.3030303030303,79,2018-10-26,2019-03-02,127,0.0,0.0
Fetty Wap,111,124.91891891891892,36,2017-01-01,2018-03-08,431,11.0,0.0990990990990991
Fifth Harmony,322,121.6583850931677,35,2017-01-01,2017-10-27,299,3.0,0.009316770186335404
Finneas O'Connell,29,150.06896551724137,97,2022-03-19,2022-04-18,30,0.0,0.0
Fireboy DML,53,130.71698113207546,68,2021-12-26,2022-04-16,111,0.0,0.0
Fivio Foreign,23,113.04347826086956,28,2022-02-11,2022-07-09,148,2.0,0.08695652173913043
Fleet Foxes,5,102.8,51,2022-06-03,2022-06-07,4,0.0,0.0
Fleetwood Mac,391,128.98976982097187,17,2017-05-08,2022-12-01,2033,35.0,0.08951406649616368
Flipp Dinero,233,98.89270386266094,31,2018-09-07,2019-05-05,240,42.0,0.18025751072961374
Flo Rida,89,124.3932584269663,84,2017-01-01,2017-11-17,320,0.0,0.0
Florence + The Machine,34,146.11764705882354,76,2018-04-13,2023-05-29,1872,0.0,0.0
Florida Georgia Line,49,165.9591836734694,93,2017-04-07,2018-07-30,479,0.0,0.0
Flow La Movie,175,85.41142857142857,12,2021-03-12,2021-07-25,135,70.0,0.4
Flowdan,9,152.55555555555554,71,2023-01-05,2023-01-13,8,0.0,0.0
Flume,52,178.71153846153845,130,2017-01-01,2019-06-14,894,0.0,0.0
Flyboy Tarantino,1,130.0,130,2019-01-23,2019-01-23,0,0.0,0.0
Foo Fighters,16,140.4375,53,2017-08-25,2022-03-28,1676,0.0,0.0
Forever Band,1,199.0,199,2018-07-19,2018-07-19,0,0.0,0.0
Foster The People,10,164.9,96,2017-01-01,2021-01-01,1461,0.0,0.0
Foudeqush,11,127.27272727272727,102,2022-11-14,2022-11-24,10,0.0,0.0
Fousheé,151,112.37748344370861,62,2020-05-12,2022-07-15,794,0.0,0.0
Fran C,53,93.41509433962264,45,2022-09-22,2022-11-13,52,11.0,0.20754716981132076
Francesca Michielin,5,146.6,91,2021-03-03,2021-03-09,6,0.0,0.0
Frank Ocean,186,104.8225806451613,23,2017-03-11,2023-05-24,2265,14.0,0.07526881720430108
Frank Sinatra,205,74.4390243902439,10,2017-11-25,2022-12-26,1857,70.0,0.34146341463414637
Frank Sitra,82,127.2560975609756,31,2017-12-24,2022-12-26,1828,4.0,0.04878048780487805
Frauenarzt,5,169.6,101,2021-05-07,2021-05-12,5,0.0,0.0
Fred Hammond,8,74.25,25,2019-10-25,2019-11-01,7,4.0,0.5
Fred again..,9,152.55555555555554,71,2023-01-05,2023-01-13,8,0.0,0.0
Freddie Dredd,67,166.47761194029852,112,2022-11-14,2023-01-25,72,0.0,0.0
Freeze corleone,1,154.0,154,2020-09-11,2020-09-11,0,0.0,0.0
Fren,16,143.625,106,2018-09-07,2018-09-24,17,0.0,0.0
French Montana,793,84.00504413619167,3,2017-04-09,2020-01-07,1003,301.0,0.37957124842370743
Freshlyground,3,149.33333333333334,94,2022-11-24,2022-11-26,2,0.0,0.0
Fridayy,5,115.4,50,2022-08-26,2022-10-14,49,1.0,0.2
Fuego,21,159.9047619047619,119,2021-11-09,2021-11-30,21,0.0,0.0
Fuerza Regida,368,89.0163043478261,10,2022-12-28,2023-05-29,152,93.0,0.25271739130434784
Fujii Kaze,191,99.78010471204189,57,2022-09-04,2023-03-19,196,0.0,0.0
Future,3008,100.96409574468085,3,2017-01-01,2023-05-29,2339,697.0,0.2317154255319149
G Herbo,61,155.13114754098362,107,2020-02-28,2022-01-07,679,0.0,0.0
G-Eazy,799,100.55569461827284,6,2017-01-01,2021-09-17,1720,245.0,0.30663329161451813
GASHI,9,178.22222222222223,165,2018-09-17,2018-09-27,10,0.0,0.0
GAYLE,311,51.964630225080384,1,2021-11-14,2022-09-14,304,182.0,0.5852090032154341
Gabito Ballesteros,170,48.65882352941176,11,2023-01-06,2023-05-29,143,127.0,0.7470588235294118
Gabriel Diniz,20,147.05,60,2019-01-01,2019-02-03,33,0.0,0.0
Gabriela,5,94.6,46,2020-05-10,2020-05-14,4,1.0,0.2
Gabry Ponte,116,150.68103448275863,77,2021-10-01,2022-03-26,176,0.0,0.0
Gaby Music,66,126.56060606060606,97,2019-03-09,2019-05-13,65,0.0,0.0
Gala,1,174.0,174,2022-12-31,2022-12-31,0,0.0,0.0
Galantis,338,121.94674556213018,46,2017-01-01,2021-10-14,1747,22.0,0.0650887573964497
Gambi,25,147.72,87,2019-10-04,2020-01-20,108,0.0,0.0
Gaullin,38,170.55263157894737,143,2019-03-23,2019-05-01,39,0.0,0.0
Gavin James,93,138.05376344086022,102,2017-05-19,2017-08-22,95,0.0,0.0
Gayla Peevey,2,148.0,125,2022-12-24,2022-12-25,1,0.0,0.0
Gemitaiz,8,110.5,31,2019-06-07,2019-09-20,105,1.0,0.125
Gene Autry,25,121.48,40,2017-12-24,2022-12-25,1827,1.0,0.04
Gente De Zona,130,140.6769230769231,102,2017-01-01,2018-01-25,389,0.0,0.0
Gentleman,1,200.0,200,2020-09-18,2020-09-18,0,0.0,0.0
George Ezra,374,116.98395721925134,35,2017-12-24,2020-12-25,1097,66.0,0.17647058823529413
George Henrique & Rodrigo,100,122.57,23,2021-11-19,2022-03-27,128,3.0,0.03
George Michael,30,173.9,128,2021-10-13,2021-11-30,48,0.0,0.0
Georgia Ku,39,157.02564102564102,125,2019-01-14,2019-02-21,38,0.0,0.0
Gera MX,178,87.98314606741573,4,2021-04-23,2022-01-01,253,63.0,0.3539325842696629
Gesaffelstein,646,110.45046439628483,8,2018-03-30,2023-05-29,1886,41.0,0.06346749226006192
Ghali,11,132.54545454545453,46,2018-01-26,2018-05-12,106,1.0,0.09090909090909091
Ghost,103,84.55339805825243,31,2022-08-14,2022-11-30,108,40.0,0.3883495145631068
Ghostface Killah,9,72.77777777777777,11,2022-05-13,2022-05-21,8,4.0,0.4444444444444444
Giant Rooks,59,107.83050847457628,57,2022-03-14,2022-05-12,59,0.0,0.0
Giggs,61,97.18032786885246,6,2017-03-19,2017-04-21,33,15.0,0.2459016393442623
Gigi D'Agostino,465,78.04086021505377,4,2018-07-04,2020-01-04,549,191.0,0.410752688172043
Giveon,588,93.1139455782313,8,2021-02-10,2022-09-09,576,147.0,0.25
Gjon's Tears,4,124.75,73,2021-05-23,2021-05-26,3,0.0,0.0
Glades,7,196.42857142857142,194,2018-02-20,2018-03-08,16,0.0,0.0
Glass Animals,893,33.473684210526315,1,2020-08-07,2023-05-29,1025,693.0,0.7760358342665173
Gloria Groove,5,188.0,182,2020-08-22,2022-03-26,581,0.0,0.0
Go_A,7,104.14285714285714,69,2021-05-23,2021-05-29,6,0.0,0.0
Goodboys,809,88.83930778739185,13,2019-04-15,2021-01-12,638,279.0,0.34487021013597036
Gorillaz,111,114.45945945945945,12,2017-03-24,2023-04-06,2204,29.0,0.26126126126126126
Gotye,145,163.30344827586208,122,2021-02-18,2022-03-16,391,0.0,0.0
Grace Jones,5,103.8,38,2022-07-29,2022-08-02,4,1.0,0.2
Gradur,30,167.23333333333332,102,2019-11-29,2020-01-04,36,0.0,0.0
Grayson Villanueva,29,150.06896551724137,97,2022-03-19,2022-04-18,30,0.0,0.0
Green Day,1,194.0,194,2020-02-07,2020-02-07,0,0.0,0.0
Grey,892,102.29596412556054,6,2017-01-01,2020-01-01,1095,228.0,0.2556053811659193
Grupo F1rmo,1,179.0,179,2021-12-11,2021-12-11,0,0.0,0.0
Grupo Firme,12,173.0,92,2021-09-26,2022-01-01,97,0.0,0.0
Grupo Frontera,639,77.73865414710485,1,2022-09-24,2023-05-29,247,179.0,0.28012519561815336
Grupo Marca Registrada,128,161.46875,103,2022-07-23,2023-05-13,294,0.0,0.0
Gryffin,39,135.28205128205127,98,2017-03-03,2022-09-09,2016,0.0,0.0
Guay,3,175.33333333333334,161,2019-06-01,2019-06-09,8,0.0,0.0
Guaya,267,103.68539325842697,32,2019-04-13,2021-04-17,735,49.0,0.18352059925093633
Gucci Mane,914,102.85120350109409,9,2017-01-01,2019-06-03,883,180.0,0.19693654266958424
Guilherme & Benuto,73,162.4794520547945,68,2020-01-01,2023-05-27,1242,0.0,0.0
Gun,522,106.76628352490421,12,2018-09-13,2022-12-06,1545,94.0,0.18007662835249041
Gunna,3,187.33333333333334,182,2021-12-27,2021-12-29,2,0.0,0.0
Guns N' Roses,139,155.6978417266187,94,2022-04-18,2022-10-29,194,0.0,0.0
Gurinder Gill,74,103.20270270270271,52,2022-01-11,2022-03-27,75,0.0,0.0
Gus Dapperton,226,52.13716814159292,10,2020-03-04,2020-10-15,225,151.0,0.668141592920354
Gustah,104,78.16346153846153,26,2021-12-26,2022-04-21,116,40.0,0.38461538461538464
Gustavo Mioto,99,141.35353535353536,53,2022-10-07,2023-03-18,162,0.0,0.0
Gusttavo Lima,230,142.8695652173913,51,2020-01-01,2023-02-18,1144,0.0,0.0
Guè,1,137.0,137,2023-01-13,2023-01-13,0,0.0,0.0
Guè Pequeno,2,177.5,168,2018-09-07,2018-09-14,7,0.0,0.0
Gwen Stefani,107,125.70093457943925,38,2017-12-23,2022-12-26,1829,8.0,0.07476635514018691
Gym Class Heroes,190,155.5421052631579,74,2021-03-04,2021-08-26,175,0.0,0.0
Gzuz,51,157.15686274509804,76,2017-07-18,2022-09-02,1872,0.0,0.0
H.E.R.,114,141.2017543859649,73,2018-12-13,2021-04-28,867,0.0,0.0
HA SUNG WOON,27,90.11111111111111,5,2022-04-24,2022-05-22,28,10.0,0.37037037037037035
HAIM,3,158.66666666666666,106,2017-05-05,2021-02-19,1386,0.0,0.0
HARDY,1,136.0,136,2023-03-03,2023-03-03,0,0.0,0.0
HITMAKER,2,156.5,135,2023-02-18,2023-02-19,1,0.0,0.0
HRVY,4,191.0,186,2018-03-11,2018-03-14,3,0.0,0.0
HUGEL,1,168.0,168,2017-09-08,2017-09-08,0,0.0,0.0
HVME,443,85.60270880361173,26,2020-10-23,2021-10-13,355,129.0,0.291196388261851
Haftbefehl,2,124.0,98,2020-05-08,2020-06-05,28,0.0,0.0
Hailee Steinfeld,947,92.74868004223865,14,2017-01-01,2020-01-03,1097,245.0,0.2587117212249208
Hallie Coggins,26,129.1153846153846,87,2022-09-25,2022-10-20,25,0.0,0.0
Halsey,2946,112.479633401222,2,2017-01-01,2023-03-08,2257,626.0,0.21249151391717583
Hamza,4,144.75,55,2020-09-18,2020-09-21,3,0.0,0.0
Hanh Kerr,3,190.0,171,2018-12-25,2019-12-25,365,0.0,0.0
Hanybal,1,160.0,160,2018-10-05,2018-10-05,0,0.0,0.0
Harm Franklin,3,155.33333333333334,132,2020-06-20,2020-06-22,2,0.0,0.0
Harry Nach,119,112.23529411764706,69,2020-06-03,2020-10-01,120,0.0,0.0
Harry Styles,4995,83.08188188188188,1,2017-04-07,2023-05-29,2243,1767.0,0.35375375375375373
Hava,8,146.25,85,2019-12-06,2019-12-13,7,0.0,0.0
Hayley Kiyoko,1,200.0,200,2018-03-30,2018-03-30,0,0.0,0.0
Hayley Williams,1,161.0,161,2020-01-23,2020-01-23,0,0.0,0.0
Haze,198,88.41414141414141,39,2018-12-15,2019-07-06,203,30.0,0.15151515151515152
Headie One,57,148.1578947368421,38,2020-07-21,2020-10-09,80,3.0,0.05263157894736842
Hearts & Colors,55,87.72727272727273,68,2017-01-01,2017-02-25,55,0.0,0.0
Helene Fischer,1,174.0,174,2020-12-24,2020-12-24,0,0.0,0.0
Hell Raton,1,172.0,172,2019-07-05,2019-07-05,0,0.0,0.0
Henri Rene & His Orchestra,96,140.75,30,2017-12-03,2021-12-20,1478,6.0,0.0625
Henri René and His Orchestra,20,120.1,47,2021-12-21,2022-12-25,369,3.0,0.15
Henrique & Juliano,262,137.83587786259542,41,2019-01-01,2023-04-29,1579,1.0,0.003816793893129771
Herve Pagez,1,140.0,140,2019-05-31,2019-05-31,0,0.0,0.0
Heuss L'enfoiré,30,167.23333333333332,102,2019-11-29,2020-01-04,36,0.0,0.0
Hight,69,159.231884057971,121,2017-05-12,2017-08-10,90,0.0,0.0
Hippie Sabotage,21,183.76190476190476,168,2021-03-01,2021-03-25,24,0.0,0.0
Hit-Boy,6,147.33333333333334,93,2019-08-29,2019-09-03,5,0.0,0.0
Hook N Sling,55,142.21818181818182,117,2017-01-01,2017-02-25,55,0.0,0.0
Hopsin,2,133.5,79,2021-03-12,2021-03-13,1,0.0,0.0
Hot Shade,1,169.0,169,2017-03-03,2017-03-03,0,0.0,0.0
Hotel Ugly,191,156.0366492146597,65,2022-10-16,2023-05-29,225,0.0,0.0
Houari,69,128.40579710144928,85,2020-08-18,2020-10-25,68,0.0,0.0
Hozier,731,157.59917920656633,41,2017-01-02,2023-05-18,2327,1.0,0.0013679890560875513
Hugh Jackman,321,143.89408099688472,63,2017-12-30,2018-04-17,108,0.0,0.0
Hugo & Guilherme,164,136.0609756097561,47,2021-01-30,2023-01-28,728,1.0,0.006097560975609756
Humberto & Ronaldo,2,189.0,180,2018-12-30,2019-01-01,2,0.0,0.0
Huncho Jack,79,144.8227848101266,27,2017-12-22,2018-01-25,34,4.0,0.05063291139240506
Hwa Sa,1,199.0,199,2020-08-11,2020-08-11,0,0.0,0.0
I Wroldsen,147,118.85034013605443,44,2017-05-26,2018-06-01,371,11.0,0.07482993197278912
IAmChino,175,123.61714285714285,72,2017-01-01,2017-07-08,188,0.0,0.0
ILLENIUM,243,107.57613168724279,26,2017-03-03,2020-04-30,1154,104.0,0.4279835390946502
INTERWORLD,166,136.76506024096386,88,2022-11-28,2023-05-29,182,0.0,0.0
ITZY,123,127.97560975609755,56,2020-03-10,2021-10-28,597,0.0,0.0
IU,51,100.80392156862744,11,2020-05-06,2023-05-03,1092,11.0,0.21568627450980393
IVE,243,114.93415637860082,23,2021-12-05,2023-05-29,540,13.0,0.053497942386831275
Ice Spice,167,52.61077844311377,3,2023-02-05,2023-05-29,113,115.0,0.688622754491018
Idina Menzel,109,122.78899082568807,47,2017-12-23,2022-12-25,1828,2.0,0.01834862385321101
Iggy Azalea,6,157.5,82,2017-03-24,2017-05-23,60,0.0,0.0
Igow,15,132.13333333333333,63,2023-03-23,2023-04-09,17,0.0,0.0
Imagine Dragons,5958,97.48539778449144,3,2017-01-23,2023-05-29,2317,1216.0,0.20409533400469956
Imanbek,155,120.00645161290322,67,2020-10-23,2022-12-31,799,0.0,0.0
Ingratax,122,67.20491803278688,24,2021-07-22,2021-11-20,121,45.0,0.36885245901639346
Intense,74,103.20270270270271,52,2022-01-11,2022-03-27,75,0.0,0.0
Internet Money,551,81.58076225045372,2,2019-10-21,2022-01-02,804,235.0,0.426497277676951
Interplanetary Criminal,80,100.8,48,2022-09-03,2022-12-31,119,3.0,0.0375
Inéz,3,182.66666666666666,165,2022-10-27,2022-10-29,2,0.0,0.0
Ir Sais,1,184.0,184,2020-08-29,2020-08-29,0,0.0,0.0
Irama,16,150.9375,73,2019-02-10,2022-02-12,1098,0.0,0.0
Isabel LaRosa,6,183.0,167,2022-11-08,2023-01-11,64,0.0,0.0
Isaiah Firebrace,83,103.26506024096386,60,2017-01-03,2017-03-29,85,0.0,0.0
Isaiah Rashad,1,145.0,145,2021-07-30,2021-07-30,0,0.0,0.0
Israel & Rodolffo,266,119.6842105263158,28,2021-03-06,2023-05-28,813,19.0,0.07142857142857142
ItaloBrothers,114,141.59649122807016,91,2017-06-09,2017-10-02,115,0.0,0.0
Ivan Cornejo,35,133.5142857142857,83,2021-10-07,2021-11-11,35,0.0,0.0
Izi,1,117.0,117,2019-07-05,2019-07-05,0,0.0,0.0
J Balvin,10659,89.53081902617507,1,2017-01-01,2023-05-19,2329,3101.0,0.29092785439534663
J Hus,2,195.5,195,2017-05-25,2017-05-28,3,0.0,0.0
J-AX,1,163.0,163,2018-05-04,2018-05-04,0,0.0,0.0
J. Cole,1940,109.89432989690722,1,2017-01-01,2023-05-29,2339,363.0,0.18711340206185567
J. Rey Soul,197,68.38578680203045,17,2020-04-18,2020-12-31,257,107.0,0.5431472081218274
JACKBOYS,297,121.05723905723906,10,2019-12-27,2020-09-20,268,14.0,0.04713804713804714
JAY-Z,110,114.99090909090908,9,2017-01-01,2023-03-18,2267,14.0,0.12727272727272726
JENNIE,79,119.17721518987342,62,2018-11-12,2019-02-03,83,0.0,0.0
JID,471,69.82165605095541,3,2021-12-21,2023-04-08,473,215.0,0.4564755838641189
JIN,43,106.5813953488372,17,2021-11-07,2022-12-05,393,8.0,0.18604651162790697
JISOO,65,40.41538461538462,6,2023-03-31,2023-05-29,59,48.0,0.7384615384615385
JP Cooper,391,123.98209718670077,52,2017-01-01,2017-10-23,295,0.0,0.0
JP Saxe,543,107.01104972375691,37,2019-11-10,2021-06-24,592,47.0,0.0865561694290976
JS o Mão de Ouro,63,163.5873015873016,96,2019-09-21,2020-02-25,157,0.0,0.0
JSX,3,143.0,82,2021-03-05,2021-03-08,3,0.0,0.0
JVKE,334,54.02095808383233,9,2022-03-05,2023-05-29,450,230.0,0.688622754491018
Jack & Jack,311,88.46302250803859,11,2018-06-04,2019-05-08,338,119.0,0.38263665594855306
Jack Black,23,100.78260869565217,53,2023-04-11,2023-05-07,26,0.0,0.0
Jack Harlow,1451,83.16402481047554,1,2020-02-03,2023-04-28,1180,577.0,0.3976567884217781
Jack The Smoker,1,150.0,150,2019-07-05,2019-07-05,0,0.0,0.0
Jaden,3,185.0,176,2017-11-27,2020-08-28,1005,0.0,0.0
Jaira Burns,46,114.02173913043478,50,2018-11-04,2020-11-19,746,1.0,0.021739130434782608
James Arthur,2485,124.02173038229377,7,2017-01-01,2023-05-29,2339,123.0,0.04949698189134809
James Bay,70,162.78571428571428,99,2017-01-01,2019-05-10,859,0.0,0.0
James Blake,6,145.5,58,2019-01-18,2019-01-23,5,0.0,0.0
James Blunt,190,97.61578947368422,55,2017-01-27,2017-11-25,302,0.0,0.0
James Brown,2,117.0,51,2020-06-02,2020-06-03,1,0.0,0.0
James Carter,13,187.46153846153845,135,2022-11-11,2023-01-25,75,0.0,0.0
James Hersey,12,146.16666666666666,126,2017-01-01,2017-01-12,11,0.0,0.0
James Hype,195,93.74871794871795,29,2022-06-02,2023-01-14,226,63.0,0.3230769230769231
James TW,2,180.5,169,2020-12-24,2020-12-25,1,0.0,0.0
Jamie Miller,88,145.4659090909091,100,2021-07-04,2021-10-04,92,0.0,0.0
Jamule,36,169.83333333333334,83,2020-06-26,2021-03-26,273,0.0,0.0
Janelle Monáe,1,123.0,123,2018-02-23,2018-02-23,0,0.0,0.0
Jarabe De Palo,2,175.0,162,2020-06-09,2020-06-10,1,0.0,0.0
Jasiel Nuñez,16,180.9375,154,2023-04-25,2023-05-14,19,0.0,0.0
Jasleen Royal,49,134.0,77,2021-08-17,2021-10-10,54,0.0,0.0
Jasmine Thompson,1,138.0,138,2020-07-17,2020-07-17,0,0.0,0.0
Jason Derulo,1681,91.65139797739441,1,2017-02-24,2022-07-28,1980,459.0,0.273051754907793
Jason Mraz,462,173.39826839826839,110,2017-11-23,2020-10-22,1064,0.0,0.0
Jawsh 685,426,74.1830985915493,1,2020-06-12,2021-07-01,384,167.0,0.392018779342723
Jax Jones,970,108.27525773195876,17,2017-01-09,2022-08-13,2042,158.0,0.16288659793814433
Jay Electronica,8,175.625,132,2018-04-06,2018-04-16,10,0.0,0.0
Jay Rock,327,121.14984709480122,26,2018-01-12,2023-05-29,1963,49.0,0.14984709480122324
Jay Wheeler,416,84.48317307692308,19,2020-06-23,2021-10-02,466,136.0,0.3269230769230769
Jaymes Young,298,79.30536912751678,10,2021-10-11,2022-08-25,318,147.0,0.49328859060402686
Jc La Nevula,3,196.66666666666666,195,2021-09-16,2021-09-18,2,0.0,0.0
Jd Pantoja,1,123.0,123,2020-08-21,2020-08-21,0,0.0,0.0
Jeff Costa,2,172.0,169,2021-02-13,2021-02-14,1,0.0,0.0
Jennifer Hudson,3,114.33333333333333,82,2021-12-23,2021-12-25,2,0.0,0.0
Jennifer Lopez,47,172.5744680851064,117,2017-07-07,2020-09-25,1176,0.0,0.0
Jeon,96,87.61458333333333,59,2018-01-19,2018-04-25,96,0.0,0.0
Jeremih,5,146.2,87,2017-02-03,2017-02-07,4,0.0,0.0
Jeremy Zucker,145,145.6,104,2019-07-07,2020-01-06,183,0.0,0.0
Jerry Di,174,103.84482758620689,43,2020-08-17,2021-02-13,180,22.0,0.12643678160919541
Jerry Smith,12,172.41666666666666,134,2018-12-29,2019-01-26,28,0.0,0.0
Jess Glynne,157,127.26751592356688,54,2018-05-04,2019-05-24,385,0.0,0.0
Jesse & Joy,129,140.46511627906978,102,2017-09-16,2018-01-25,131,0.0,0.0
Jessi,38,136.23684210526315,80,2022-04-24,2022-06-01,38,0.0,0.0
Jessica Darrow,96,70.34375,23,2021-12-27,2022-04-03,97,47.0,0.4895833333333333
Jessica Rothe,3,181.33333333333334,165,2017-01-30,2017-02-27,28,0.0,0.0
Jessie J,8,154.5,113,2018-12-24,2022-12-25,1462,0.0,0.0
Jessie Reyez,391,85.62915601023018,4,2018-08-17,2023-02-23,1651,145.0,0.37084398976982097
Jesy Nelson,1,107.0,107,2021-10-08,2021-10-08,0,0.0,0.0
Jhay Cortez,1455,89.24604810996564,7,2019-05-21,2021-12-20,944,421.0,0.2893470790378007
Jhayco,1149,82.03481288076588,1,2020-10-30,2023-05-12,924,479.0,0.41688424717145345
Jhené Aiko,179,137.18994413407822,85,2017-04-07,2020-10-23,1295,0.0,0.0
Jhorrmountain,17,181.88235294117646,158,2020-07-30,2020-08-22,23,0.0,0.0
Jillian Edwards,17,190.64705882352942,168,2017-02-01,2017-03-02,29,0.0,0.0
Jimin,254,78.14173228346456,1,2022-04-24,2023-05-29,400,126.0,0.49606299212598426
Jnr Choi,107,97.02803738317758,52,2021-12-30,2022-04-23,114,0.0,0.0
Jo Lewie,8,169.25,117,2017-12-24,2022-12-25,1827,0.0,0.0
Joakim Lundell,7,169.42857142857142,131,2017-02-14,2017-02-20,6,0.0,0.0
Joel Adams,19,182.73684210526315,157,2017-01-01,2017-01-26,25,0.0,0.0
Joel Corry,1134,79.1331569664903,10,2020-07-13,2022-01-29,565,389.0,0.3430335097001764
Joey Bada$$,5,183.6,160,2017-04-07,2017-04-11,4,0.0,0.0
Joey Monta,210,108.47619047619048,59,2017-09-14,2018-04-14,212,0.0,0.0
John Amplificado,76,117.92105263157895,54,2021-08-20,2021-10-10,51,0.0,0.0
John Legend,1230,162.8520325203252,30,2017-01-01,2023-02-14,2235,49.0,0.03983739837398374
John Lennon,182,67.39010989010988,7,2017-11-26,2022-12-26,1856,69.0,0.3791208791208791
John Lundvik,2,168.5,164,2019-03-10,2019-05-19,70,0.0,0.0
John Mayer,110,116.00909090909092,52,2017-01-20,2021-07-17,1639,0.0,0.0
John Newman,1,137.0,137,2021-07-02,2021-07-02,0,0.0,0.0
John Paul White,1,96.0,96,2023-03-17,2023-03-17,0,0.0,0.0
John Scott Trotter & His Orchestra,180,84.83888888888889,10,2017-11-26,2022-12-26,1856,34.0,0.18888888888888888
John Travolta,1,173.0,173,2022-08-09,2022-08-09,0,0.0,0.0
John Williams,52,136.59615384615384,29,2017-12-02,2022-12-25,1849,2.0,0.038461538461538464
Johnny Mathis,4,170.0,132,2018-12-24,2022-12-25,1462,0.0,0.0
Joji,902,108.64855875831486,1,2018-09-13,2023-05-29,1719,215.0,0.23835920177383593
Jojo Maronttinni,2,188.5,178,2018-01-20,2018-01-21,1,0.0,0.0
Joker Bra,19,120.36842105263158,73,2020-01-31,2020-02-18,18,0.0,0.0
Jon Batiste,1,91.0,91,2023-03-24,2023-03-24,0,0.0,0.0
Jon Bellion,153,77.34640522875817,29,2017-01-01,2017-06-06,156,62.0,0.40522875816993464
Jon Z,20,146.55,125,2019-05-04,2019-05-23,19,0.0,0.0
Jona Lewie,2,135.5,124,2021-12-24,2021-12-25,1,0.0,0.0
Jonas Brothers,1009,98.72646184340931,2,2019-03-01,2022-12-25,1395,246.0,0.24380574826560952
Jone Quest,96,111.55208333333333,71,2020-08-12,2020-11-15,95,0.0,0.0
Jonita Gandhi,6,160.0,126,2022-02-15,2022-02-20,5,0.0,0.0
Joony,1,182.0,182,2022-07-08,2022-07-08,0,0.0,0.0
Joost,1,149.0,149,2023-05-26,2023-05-26,0,0.0,0.0
Jordan Fisher,29,150.06896551724137,97,2022-03-19,2022-04-18,30,0.0,0.0
Jorge & Mateus,132,165.4469696969697,89,2018-04-14,2023-01-01,1723,0.0,0.0
Jorja Smith,133,126.45112781954887,11,2017-03-19,2019-10-31,956,12.0,0.09022556390977443
Jos Blue,1272,110.43003144654088,11,2017-01-01,2019-09-26,998,296.0,0.23270440251572327
Jos Brothers,218,125.46788990825688,54,2019-06-21,2022-09-21,1188,0.0,0.0
Jos Esticado,57,154.82456140350877,82,2020-08-01,2021-01-16,168,0.0,0.0
Josh Levi,29,150.06896551724137,97,2022-03-19,2022-04-18,30,0.0,0.0
Joshua Bassett,1,145.0,145,2021-01-15,2021-01-15,0,0.0,0.0
José Feliciano,190,66.08421052631579,7,2017-11-26,2022-12-27,1857,92.0,0.4842105263157895
José José,1,181.0,181,2019-09-29,2019-09-29,0,0.0,0.0
Journey,138,183.17391304347825,141,2017-02-09,2023-01-01,2152,0.0,0.0
Jovem Dionisio,23,113.08695652173913,46,2022-05-20,2022-06-18,29,1.0,0.043478260869565216
Jowell & Randy,571,92.13660245183888,7,2017-06-08,2021-01-01,1303,186.0,0.3257443082311734
Joy Williams,1,96.0,96,2023-03-17,2023-03-17,0,0.0,0.0
Joyner Lucas,71,133.29577464788733,46,2019-05-24,2021-10-06,866,5.0,0.07042253521126761
João Gomes,184,119.22282608695652,33,2021-06-26,2022-07-09,378,12.0,0.06521739130434782
